lot,ocena
PA/13210,82
PA/13211,86
PA/13212,75
PA/13213,80
PA/13214,72
PA/13215,83
PA/13216,69
PA/13217,70
PA/13218,84
PA/13219,83
PA/13220,74
PA/13221,68
PA/13222,86
PA/13223,82
PA/13224,84
PA/13225,80
PA/13226,86
PA/13227,75
PA/13228,75
PA/13229,68
PA/13230,78
PA/13231,87
PA/13232,86
PA/13233,79
PA/13234,72
PA/13235,75
PA/13236,86
PA/13237,79
PA/13238,77
PA/13239,72
PA/13240,69
PA/13241,71
PA/13242,70
PA/13243,71
PA/13244,80
PA/13245,81
PA/13246,83
PA/13247,67
PA/13248,76
PA/13249,76
PA/13250,81
PA/13251,69
PA/13252,71
PA/13253,85
PA/13254,85
PA/13255,75
PA/13256,70
PA/13257,84
PA/13258,70
PA/13259,75
PA/13260,78
PA/13261,71
PA/13262,77
PA/13263,70
PA/13264,72
PA/13265,78
PA/13266,87
PA/13267,78
PA/13268,82
PA/13269,85
PA/13270,87
PA/13271,76
PA/13272,79
PA/13273,67
PA/13274,78
PA/13275,75
PA/13276,71
PA/13277,73
PA/13278,69
PA/13279,70
PA/13280,72
PA/13281,85
PA/13282,70
PA/13283,74
PA/13284,85
PA/13285,87
PA/13286,83
PA/13287,75
PA/13288,69
PA/13289,68
PA/13290,78
PA/13291,73
PA/13292,86
PA/13293,84
PA/13294,67
PA/13295,71
PA/13296,77
PA/13297,68
PA/13298,81
PA/13299,84
PA/13300,68
PA/13301,78
PA/13302,69
PA/13303,84
PA/13304,67
PA/13305,84
PA/13306,80
PA/13307,74
PA/13308,71
PA/13309,67
PA/13310,69
PA/13311,76
PA/13312,69
PA/13313,84
PA/13314,80
PA/13315,82
PA/13316,77
PA/13317,79
PA/13318,85
PA/13319,81
PA/13320,87
PA/13321,74
PA/13322,68
PA/13323,75
PA/13324,70
PA/13325,75
PA/13326,78
PA/13327,71
PA/13328,72
PA/13329,69
PA/13330,79
PA/13331,80
PA/13332,87
PA/13333,84
PA/13334,77
PA/13335,87
PA/13336,79
PA/13337,78
PA/13338,77
PA/13339,69
PA/13340,76
PA/13341,84
PA/13342,77
PA/13343,75
PA/13344,82
PA/13345,82
PA/13346,68
PA/13347,87
PA/13348,73
PA/13349,69
PA/13350,70
PA/13351,72
PA/13352,74
PA/13353,86
PA/13354,85
PA/13355,76
PA/13356,72
PA/13357,76
PA/13358,83
PA/13359,77
PA/13360,86
PA/13361,85
PA/13362,86
PA/13363,87
PA/13364,84
PA/13365,76
PA/13366,87
PA/13367,75
PA/13368,85
PA/13369,75
PA/13370,85
PA/13371,74
PA/13372,81
PA/13373,82
PA/13374,70
PA/13375,74
PA/13376,81
PA/13377,86
PA/13378,72
PA/13379,85
PA/13380,72
PA/13381,77
PA/13382,67
PA/13383,67
PA/13384,67
PA/13385,79
PA/13386,80
PA/13387,87
PA/13388,69
PA/13389,71
PA/13390,76
PA/13391,70
PA/13392,73
PA/13393,71
PA/13394,71
PA/13395,74
PA/13396,74
PA/13397,75
PA/13398,78
PA/13399,67
PA/13400,75
PA/13401,79
PA/13402,70
PA/13403,77
PA/13404,74
PA/13405,73
PA/13406,85
PA/13407,75
PA/13408,86
PA/13409,84
PA/13410,87
PA/13411,75
PA/13412,77
PA/13413,77
PA/13414,84
PA/13415,72
PA/13416,87
PA/13417,79
PA/13418,67
PA/13419,82
PA/13420,87
PA/13421,79
PA/13422,84
PA/13423,72
PA/13424,78
PA/13425,80
PA/13426,79
PA/13427,75
PA/13428,68
PA/13429,78
PA/13430,73
PA/13431,78
PA/13432,68
PA/13433,76
PA/13434,80
PA/13435,74
PA/13436,77
PA/13437,79
PA/13438,79
PA/13439,68
PA/13440,68
PA/13441,74
PA/13442,75
PA/13443,77
PA/13444,76
PA/13445,79
PA/13446,79
PA/13447,82
PA/13448,69
PA/13449,69
PA/13450,74
PA/13451,72
PA/13452,75
PA/13453,82
PA/13454,81
PA/13455,81
PA/13456,73
PA/13457,83
PA/13458,83
PA/13459,81
PA/13460,86
PA/13461,74
PA/13462,76
PA/13463,70
PA/13464,81
PA/13465,71
PA/13466,84
PA/13467,82
PA/13468,77
PA/13469,69
PA/13470,84
PA/13471,77
PA/13472,77
PA/13473,77
PA/13474,78
PA/13475,82
PA/13476,73
PA/13477,72
PA/13478,80
PA/13479,67
PA/13480,69
PA/13481,79
PA/13482,87
PA/13483,69
PA/13484,71
PA/13485,83
PA/13486,68
PA/13487,80
PA/13488,81
PA/13489,73
PA/13490,83
PA/13491,82
PA/13492,81
PA/13493,84
PA/13494,83
PA/13495,76
PA/13496,77
PA/13497,68
PA/13498,70
PA/13499,69
PA/13500,79
PA/13501,74
PA/13502,85
PA/13503,79
PA/13504,85
PA/13505,67
PA/13506,79
PA/13507,80
PA/13508,82
PA/13509,71
PA/13510,85
PA/13511,84
PA/13512,82
PA/13513,77
PA/13514,76
PA/13515,71
PA/13516,86
PA/13517,74
PA/13518,81
PA/13519,77
PA/13520,74
PA/13521,86
PA/13522,73
PA/13523,68
PA/13524,67
PA/13525,67
PA/13526,83
PA/13527,71
PA/13528,84
PA/13529,80
PA/13530,86
PA/13531,71
PA/13532,70
PA/13533,83
PA/13534,83
PA/13535,73
PA/13536,85
PA/13537,78
PA/13538,78
PA/13539,85
PA/13540,75
PA/13541,81
PA/13542,81
PA/13543,83
PA/13544,85
PA/13545,78
PA/13546,84
PA/13547,84
PA/13548,73
PA/13549,85
PA/13550,79
PA/13551,86
PA/13552,68
PA/13553,73
PA/13554,77
PA/13555,75
PA/13556,80
PA/13557,69
PA/13558,78
PA/13559,80
PA/13560,69
PA/13561,74
PA/13562,67
PA/13563,75
PA/13564,75
PA/13565,72
PA/13566,68
PA/13567,67
PA/13568,75
PA/13569,87
PA/13570,87
PA/13571,87
PA/13572,80
PA/13573,69
PA/13574,70
PA/13575,73
PA/13576,70
PA/13577,76
PA/13578,70
PA/13579,87
PA/13580,71
PA/13581,74
PA/13582,72
PA/13583,87
PA/13584,81
PA/13585,81
PA/13586,70
PA/13587,83
PA/13588,74
PA/13589,73
PA/13590,73
PA/13591,75
PA/13592,81
PA/13593,68
PA/13594,68
PA/13595,78
PA/13596,75
PA/13597,84
PA/13598,81
PA/13599,87
PA/13600,70
PA/13601,79
PA/13602,84
PA/13603,69
PA/13604,78
PA/13605,80
PA/13606,74
PA/13607,79
PA/13608,72
PA/13609,87
PA/13610,86
PA/13611,68
PA/13612,80
PA/13613,81
PA/13614,76
PA/13615,70
PA/13616,79
PA/13617,82
PA/13618,72
PA/13619,78
PA/13620,84
PA/13621,86
PA/13622,68
PA/13623,68
PA/13624,77
PA/13625,76
PA/13626,68
PA/13627,86
PA/13628,75
PA/13629,83
PA/13630,87
PA/13631,73
PA/13632,70
PA/13633,76
PA/13634,73
PA/13635,72
PA/13636,84
PA/13637,83
PA/13638,74
PA/13639,81
PA/13640,69
PA/13641,68
PA/13642,69
PA/13643,85
PA/13644,78
PA/13645,81
PA/13646,78
PA/13647,82
PA/13648,70
PA/13649,68
PA/13650,77
PA/13651,72
PA/13652,70
PA/13653,82
PA/13654,82
PA/13655,87
PA/13656,82
PA/13657,81
PA/13658,78
PA/13659,73
PA/13660,68
PA/13661,70
PA/13662,85
PA/13663,76
PA/13664,75
PA/13665,84
PA/13666,83
PA/13667,69
PA/13668,70
PA/13669,73
PA/13670,74
PA/13671,81
PA/13672,78
PA/13673,70
PA/13674,86
PA/13675,69
PA/13676,86
PA/13677,68
PA/13678,70
PA/13679,82
PA/13680,82
PA/13681,77
PA/13682,85
PA/13683,86
PA/13684,85
PA/13685,73
PA/13686,77
PA/13687,74
PA/13688,72
PA/13689,75
PA/13690,77
PA/13691,80
PA/13692,73
PA/13693,78
PA/13694,83
PA/13695,69
PA/13696,73
PA/13697,72
PA/13698,83
PA/13699,68
PA/13700,70
PA/13701,69
PA/13702,77
PA/13703,83
PA/13704,68
PA/13705,87
PA/13706,67
PA/13707,81
PA/13708,77
PA/13709,69
PA/13710,87
PA/13711,85
PA/13712,74
PA/13713,82
PA/13714,83
PA/13715,77
PA/13716,76
PA/13717,71
PA/13718,76
PA/13719,80
PA/13720,72
PA/13721,85
PA/13722,71
PA/13723,77
PA/13724,83
PA/13725,68
PA/13726,84
PA/13727,77
PA/13728,70
PA/13729,85
PA/13730,79
PA/13731,79
PA/13732,87
PA/13733,74
PA/13734,72
PA/13735,74
PA/13736,82
PA/13737,79
PA/13738,84
PA/13739,87
PA/13740,69
PA/13741,75
PA/13742,72
PA/13743,80
PA/13744,77
PA/13745,74
PA/13746,85
PA/13747,70
PA/13748,67
PA/13749,81
PA/13750,74
PA/13751,82
PA/13752,67
PA/13753,79
PA/13754,68
PA/13755,80
PA/13756,71
PA/13757,72
PA/13758,74
PA/13759,75
PA/13760,67
PA/13761,67
PA/13762,68
PA/13763,82
PA/13764,75
PA/13765,72
PA/13766,67
PA/13767,73
PA/13768,86
PA/13769,77
PA/13770,77
PA/13771,76
PA/13772,79
PA/13773,84
PA/13774,83
PA/13775,69
PA/13776,84
PA/13777,71
PA/13778,78
PA/13779,86
PA/13780,83
PA/13781,78
PA/13782,75
PA/13783,85
PA/13784,80
PA/13785,73
PA/13786,70
PA/13787,72
PA/13788,72
PA/13789,67
PA/13790,77
PA/13791,76
PA/13792,76
PA/13793,79
PA/13794,68
PA/13795,86
PA/13796,68
PA/13797,67
PA/13798,73
PA/13799,73
PA/13800,70
PA/13801,85
PA/13802,77
PA/13803,79
PA/13804,83
PA/13805,77
PA/13806,84
PA/13807,72
PA/13808,85
PA/13809,71
PA/13810,83
PA/13811,87
PA/13812,68
PA/13813,77
PA/13814,69
PA/13815,82
PA/13816,79
PA/13817,67
PA/13818,78
PA/13819,72
PA/13820,74
PA/13821,69
PA/13822,73
PA/13823,83
PA/13824,70
PA/13825,80
PA/13826,71
PA/13827,73
PA/13828,78
PA/13829,73
PA/13830,84
PA/13831,87
PA/13832,68
PA/13833,68
PA/13834,86
PA/13835,71
PA/13836,86
PA/13837,71
PA/13838,78
PA/13839,71
PA/13840,71
PA/13841,74
PA/13842,75
PA/13843,87
PA/13844,82
PA/13845,72
PA/13846,82
PA/13847,69
PA/13848,69
PA/13849,82
PA/13850,80
PA/13851,85
PA/13852,80
PA/13853,84
PA/13854,77
PA/13855,71
PA/13856,70
PA/13857,80
PA/13858,72
PA/13859,67
PA/13860,82
PA/13861,73
PA/13862,83
PA/13863,77
PA/13864,76
PA/13865,68
PA/13866,72
PA/13867,81
PA/13868,81
PA/13869,80
PA/13870,75
PA/13871,79
PA/13872,75
PA/13873,83
PA/13874,68
PA/13875,84
PA/13876,87
PA/13877,74
PA/13878,70
PA/13879,78
PA/13880,85
PA/13881,86
PA/13882,73
PA/13883,85
PA/13884,83
PA/13885,67
PA/13886,73
PA/13887,70
PA/13888,85
PA/13889,72
PA/13890,78
PA/13891,81
PA/13892,72
PA/13893,73
PA/13894,78
PA/13895,82
PA/13896,69
PA/13897,85
PA/13898,77
PA/13899,79
PA/13900,87
PA/13901,85
PA/13902,69
PA/13903,69
PA/13904,86
PA/13905,75
PA/13906,83
PA/13907,82
PA/13908,79
PA/13909,77
PA/13910,81
PA/13911,69
PA/13912,80
PA/13913,72
PA/13914,78
PA/13915,72
PA/13916,81
PA/13917,72
PA/13918,80
PA/13919,77
PA/13920,76
PA/13921,75
PA/13922,69
PA/13923,85
PA/13924,85
PA/13925,87
PA/13926,86
PA/13927,85
PA/13928,85
PA/13929,69
PA/13930,68
PA/13931,78
PA/13932,70
PA/13933,83
PA/13934,73
PA/13935,70
PA/13936,68
PA/13937,72
PA/13938,77
PA/13939,86
PA/13940,67
PA/13941,72
PA/13942,72
PA/13943,75
PA/13944,83
PA/13945,75
PA/13946,85
PA/13947,78
PA/13948,68
PA/13949,77
PA/13950,86
PA/13951,78
PA/13952,84
PA/13953,74
PA/13954,79
PA/13955,75
PA/13956,84
PA/13957,71
PA/13958,69
PA/13959,84
PA/13960,76
PA/13961,77
PA/13962,85
PA/13963,76
PA/13964,72
PA/13965,83
PA/13966,71
PA/13967,68
PA/13968,73
PA/13969,82
PA/13970,72
PA/13971,87
PA/13972,86
PA/13973,68
PA/13974,70
PA/13975,72
PA/13976,76
PA/13977,76
PA/13978,73
PA/13979,75
PA/13980,78
PA/13981,71
PA/13982,74
PA/13983,78
PA/13984,80
PA/13985,75
PA/13986,75
PA/13987,78
PA/13988,79
PA/13989,80
PA/13990,77
PA/13991,81
PA/13992,72
PA/13993,86
PA/13994,75
PA/13995,83
PA/13996,82
PA/13997,83
PA/13998,71
PA/13999,67
PA/14000,82
PA/14001,69
PA/14002,87
PA/14003,67
PA/14004,79
PA/14005,87
PA/14006,69
PA/14007,81
PA/14008,86
PA/14009,76
PA/14010,72
PA/14011,85
PA/14012,77
PA/14013,85
PA/14014,86
PA/14015,67
PA/14016,68
PA/14017,72
PA/14018,68
PA/14019,85
PA/14020,82
PA/14021,76
PA/14022,80
PA/14023,78
PA/14024,77
PA/14025,68
PA/14026,74
PA/14027,85
PA/14028,83
PA/14029,72
PA/14030,81
PA/14031,74
PA/14032,73
PA/14033,67
PA/14034,78
PA/14035,85
PA/14036,74
PA/14037,72
PA/14038,68
PA/14039,86
PA/14040,71
PA/14041,68
PA/14042,83
PA/14043,68
PA/14044,83
PA/14045,74
PA/14046,86
PA/14047,86
PA/14048,83
PA/14049,78
PA/14050,68
PA/14051,76
PA/14052,71
PA/14053,80
PA/14054,72
PA/14055,81
PA/14056,87
PA/14057,82
PA/14058,71
PA/14059,81
PA/14060,86
PA/14061,82
PA/14062,83
PA/14063,82
PA/14064,85
PA/14065,74
PA/14066,81
PA/14067,84
PA/14068,81
PA/14069,73
PA/14070,83
PA/14071,78
PA/14072,70
PA/14073,78
PA/14074,80
PA/14075,69
PA/14076,77
PA/14077,75
PA/14078,78
PA/14079,84
PA/14080,71
PA/14081,83
PA/14082,84
PA/14083,86
PA/14084,75
PA/14085,82
PA/14086,72
PA/14087,86
PA/14088,86
PA/14089,70
PA/14090,74
PA/14091,87
PA/14092,67
PA/14093,84
PA/14094,86
PA/14095,86
PA/14096,79
PA/14097,79
PA/14098,84
PA/14099,70
PA/14100,86
PA/14101,72
PA/14102,70
PA/14103,70
PA/14104,81
PA/14105,75
PA/14106,76
PA/14107,82
PA/14108,84
PA/14109,67
PA/14110,67
PA/14111,86
PA/14112,85
PA/14113,74
PA/14114,69
PA/14115,81
PA/14116,76
PA/14117,82
PA/14118,87
PA/14119,74
PA/14120,84
PA/14121,71
PA/14122,70
PA/14123,67
PA/14124,81
PA/14125,80
PA/14126,74
PA/14127,70
PA/14128,86
PA/14129,73
PA/14130,86
PA/14131,86
PA/14132,79
PA/14133,77
PA/14134,80
PA/14135,71
PA/14136,82
PA/14137,83
PA/14138,81
PA/14139,71
PA/14140,80
PA/14141,86
PA/14142,74
PA/14143,82
PA/14144,71
PA/14145,81
PA/14146,85
PA/14147,76
PA/14148,68
PA/14149,69
PA/14150,81
PA/14151,67
PA/14152,83
PA/14153,69
PA/14154,76
PA/14155,80
PA/14156,72
PA/14157,81
PA/14158,75
PA/14159,68
PA/14160,68
PA/14161,67
PA/14162,85
PA/14163,77
PA/14164,81
PA/14165,68
PA/14166,86
PA/14167,68
PA/14168,79
PA/14169,75
PA/14170,69
PA/14171,72
PA/14172,80
PA/14173,74
PA/14174,87
PA/14175,76
PA/14176,68
PA/14177,87
PA/14178,72
PA/14179,68
PA/14180,71
PA/14181,74
PA/14182,85
PA/14183,73
PA/14184,80
PA/14185,71
PA/14186,82
PA/14187,76
PA/14188,81
PA/14189,83
PA/14190,79
PA/14191,73
PA/14192,76
PA/14193,72
PA/14194,78
PA/14195,72
PA/14196,82
PA/14197,71
PA/14198,83
PA/14199,69
PA/14200,75
PA/14201,74
PA/14202,74
PA/14203,74
PA/14204,69
PA/14205,87
PA/14206,73
PA/14207,76
PA/14208,80
PA/14209,86
PA/14210,87
PA/14211,73
PA/14212,78
PA/14213,85
PA/14214,68
PA/14215,80
PA/14216,72
PA/14217,75
PA/14218,75
PA/14219,75
PA/14220,79
PA/14221,87
PA/14222,72
PA/14223,80
PA/14224,71
PA/14225,71
PA/14226,84
PA/14227,84
PA/14228,80
PA/14229,67
PA/14230,70
PA/14231,85
PA/14232,75
PA/14233,72
PA/14234,81
PA/14235,72
PA/14236,84
PA/14237,70
PA/14238,74
PA/14239,72
PA/14240,86
PA/14241,70
PA/14242,78
PA/14243,79
PA/14244,81
PA/14245,78
PA/14246,67
PA/14247,81
PA/14248,76
PA/14249,86
PA/14250,71
PA/14251,70
PA/14252,78
PA/14253,67
PA/14254,84
PA/14255,68
PA/14256,78
PA/14257,71
PA/14258,79
PA/14259,77
PA/14260,70
PA/14261,70
PA/14262,70
PA/14263,83
PA/14264,87
PA/14265,74
PA/14266,86
PA/14267,71
PA/14268,87
PA/14269,68
PA/14270,81
PA/14271,71
PA/14272,75
PA/14273,78
PA/14274,68
PA/14275,83
PA/14276,71
PA/14277,68
PA/14278,83
PA/14279,70
PA/14280,78
PA/14281,78
PA/14282,67
PA/14283,77
PA/14284,75
PA/14285,80
PA/14286,79
PA/14287,71
PA/14288,78
PA/14289,83
PA/14290,83
PA/14291,86
PA/14292,69
PA/14293,84
PA/14294,69
PA/14295,68
PA/14296,73
PA/14297,87
PA/14298,77
PA/14299,73
PA/14300,79
PA/14301,74
PA/14302,85
PA/14303,67
PA/14304,82
PA/14305,72
PA/14306,70
PA/14307,78
PA/14308,76
PA/14309,70
PA/14310,82
PA/14311,76
PA/14312,74
PA/14313,81
PA/14314,70
PA/14315,72
PA/14316,84
PA/14317,71
PA/14318,80
PA/14319,74
PA/14320,67
PA/14321,68
PA/14322,85
PA/14323,84
PA/14324,72
PA/14325,76
PA/14326,83
PA/14327,81
PA/14328,72
PA/14329,67
PA/14330,84
PA/14331,72
PA/14332,81
PA/14333,86
PA/14334,85
PA/14335,83
PA/14336,70
PA/14337,83
PA/14338,80
PA/14339,86
PA/14340,72
PA/14341,76
PA/14342,85
PA/14343,76
PA/14344,70
PA/14345,75
PA/14346,79
PA/14347,70
PA/14348,70
PA/14349,84
PA/14350,71
PA/14351,70
PA/14352,87
PA/14353,76
PA/14354,67
PA/14355,71
PA/14356,69
PA/14357,68
PA/14358,85
PA/14359,69
PA/14360,76
PA/14361,74
PA/14362,84
PA/14363,73
PA/14364,74
PA/14365,80
PA/14366,78
PA/14367,82
PA/14368,83
PA/14369,83
PA/14370,68
PA/14371,78
PA/14372,83
PA/14373,83
PA/14374,72
PA/14375,81
PA/14376,70
PA/14377,67
PA/14378,69
PA/14379,87
PA/14380,87
PA/14381,67
PA/14382,85
PA/14383,74
PA/14384,87
PA/14385,83
PA/14386,78
PA/14387,82
PA/14388,82
PA/14389,71
PA/14390,67
PA/14391,78
PA/14392,77
PA/14393,84
PA/14394,70
PA/14395,67
PA/14396,86
PA/14397,73
PA/14398,82
PA/14399,74
PA/14400,84
PA/14401,85
PA/14402,69
PA/14403,69
PA/14404,80
PA/14405,75
PA/14406,70
PA/14407,68
PA/14408,75
PA/14409,71
PA/14410,76
PA/14411,69
PA/14412,81
PA/14413,71
PA/14414,70
PA/14415,76
PA/14416,70
PA/14417,84
PA/14418,77
PA/14419,82
PA/14420,79
PA/14421,79
PA/14422,70
PA/14423,77
PA/14424,87
PA/14425,77
PA/14426,82
PA/14427,68
PA/14428,81
PA/14429,79
PA/14430,73
PA/14431,76
PA/14432,75
PA/14433,79
PA/14434,80
PA/14435,68
PA/14436,85
PA/14437,72
PA/14438,73
PA/14439,82
PA/14440,70
PA/14441,74
PA/14442,72
PA/14443,76
PA/14444,84
PA/14445,86
PA/14446,82
PA/14447,68
PA/14448,77
PA/14449,76
PA/14450,75
PA/14451,68
PA/14452,69
PA/14453,86
PA/14454,78
PA/14455,75
PA/14456,73
PA/14457,68
PA/14458,68
PA/14459,67
PA/14460,70
PA/14461,78
PA/14462,71
PA/14463,87
PA/14464,73
PA/14465,78
PA/14466,84
PA/14467,77
PA/14468,73
PA/14469,83
PA/14470,87
PA/14471,78
PA/14472,82
PA/14473,68
PA/14474,69
PA/14475,84
PA/14476,78
PA/14477,83
PA/14478,67
PA/14479,70
PA/14480,86
PA/14481,71
PA/14482,81
PA/14483,87
PA/14484,75
PA/14485,86
PA/14486,83
PA/14487,86
PA/14488,78
PA/14489,82
PA/14490,85
PA/14491,84
PA/14492,82
PA/14493,68
PA/14494,80
PA/14495,80
PA/14496,80
PA/14497,68
PA/14498,76
PA/14499,74
PA/14500,76
PA/14501,68
PA/14502,70
PA/14503,84
PA/14504,81
PA/14505,69
PA/14506,82
PA/14507,77
PA/14508,67
PA/14509,80
PA/14510,82
PA/14511,86
PA/14512,85
PA/14513,75
PA/14514,87
PA/14515,77
PA/14516,67
PA/14517,83
PA/14518,76
PA/14519,69
PA/14520,80
PA/14521,67
PA/14522,70
PA/14523,86
PA/14524,70
PA/14525,75
PA/14526,74
PA/14527,73
PA/14528,76
PA/14529,85
PA/14530,76
PA/14531,73
PA/14532,87
PA/14533,81
PA/14534,69
PA/14535,67
PA/14536,73
PA/14537,84
PA/14538,86
PA/14539,84
PA/14540,68
PA/14541,75
PA/14542,74
PA/14543,78
PA/14544,76
PA/14545,87
PA/14546,75
PA/14547,87
PA/14548,73
PA/14549,76
PA/14550,73
PA/14551,76
PA/14552,84
PA/14553,85
PA/14554,68
PA/14555,77
PA/14556,67
PA/14557,68
PA/14558,76
PA/14559,71
PA/14560,71
PA/14561,73
PA/14562,78
PA/14563,72
PA/14564,86
PA/14565,69
PA/14566,80
PA/14567,70
PA/14568,70
PA/14569,79
PA/14570,81
PA/14571,83
PA/14572,84
PA/14573,72
PA/14574,86
PA/14575,86
PA/14576,70
PA/14577,78
PA/14578,74
PA/14579,67
PA/14580,83
PA/14581,73
PA/14582,73
PA/14583,71
PA/14584,87
PA/14585,86
PA/14586,72
PA/14587,85
PA/14588,86
PA/14589,75
PA/14590,75
PA/14591,84
PA/14592,72
PA/14593,84
PA/14594,75
PA/14595,86
PA/14596,76
PA/14597,73
PA/14598,86
PA/14599,83
PA/14600,77
PA/14601,74
PA/14602,70
PA/14603,83
PA/14604,72
PA/14605,86
PA/14606,82
PA/14607,78
PA/14608,74
PA/14609,76
PA/14610,83
PA/14611,73
PA/14612,71
PA/14613,72
PA/14614,82
PA/14615,80
PA/14616,76
PA/14617,81
PA/14618,67
PA/14619,83
PA/14620,74
PA/14621,79
PA/14622,81
PA/14623,85
PA/14624,83
PA/14625,72
PA/14626,87
PA/14627,79
PA/14628,74
PA/14629,70
PA/14630,73
PA/14631,77
PA/14632,72
PA/14633,84
PA/14634,76
PA/14635,81
PA/14636,79
PA/14637,79
PA/14638,67
PA/14639,78
PA/14640,79
PA/14641,87
PA/14642,75
PA/14643,80
PA/14644,72
PA/14645,68
PA/14646,67
PA/14647,72
PA/14648,75
PA/14649,69
PA/14650,76
PA/14651,73
PA/14652,87
PA/14653,81
PA/14654,82
PA/14655,81
PA/14656,84
PA/14657,84
PA/14658,83
PA/14659,78
PA/14660,83
PA/14661,80
PA/14662,69
PA/14663,85
PA/14664,70
PA/14665,84
PA/14666,79
PA/14667,78
PA/14668,79
PA/14669,70
PA/14670,81
PA/14671,78
PA/14672,87
PA/14673,80
PA/14674,86
PA/14675,71
PA/14676,78
PA/14677,84
PA/14678,85
PA/14679,72
PA/14680,74
PA/14681,68
PA/14682,79
PA/14683,73
PA/14684,72
PA/14685,68
PA/14686,68
PA/14687,85
PA/14688,75
PA/14689,78
PA/14690,81
PA/14691,85
PA/14692,74
PA/14693,79
PA/14694,84
PA/14695,69
PA/14696,68
PA/14697,83
PA/14698,83
PA/14699,70
PA/14700,78
PA/14701,77
PA/14702,74
PA/14703,72
PA/14704,77
PA/14705,77
PA/14706,71
PA/14707,67
PA/14708,67
PA/14709,79
PA/14710,68
PA/14711,86
PA/14712,83
PA/14713,73
PA/14714,76
PA/14715,73
PA/14716,69
PA/14717,82
PA/14718,86
PA/14719,69
PA/14720,71
PA/14721,83
PA/14722,83
PA/14723,69
PA/14724,83
PA/14725,77
PA/14726,73
PA/14727,77
PA/14728,72
PA/14729,80
PA/14730,84
PA/14731,78
PA/14732,73
PA/14733,74
PA/14734,72
PA/14735,76
PA/14736,82
PA/14737,71
PA/14738,79
PA/14739,75
PA/14740,77
PA/14741,86
PA/14742,74
PA/14743,71
PA/14744,84
PA/14745,77
PA/14746,78
PA/14747,70
PA/14748,79
PA/14749,69
PA/14750,82
PA/14751,77
PA/14752,80
PA/14753,87
PA/14754,79
PA/14755,81
PA/14756,74
PA/14757,83
PA/14758,86
PA/14759,73
PA/14760,78
PA/14761,85
PA/14762,80
PA/14763,77
PA/14764,79
PA/14765,67
PA/14766,68
PA/14767,81
PA/14768,76
PA/14769,85
PA/14770,71
PA/14771,87
PA/14772,82
PA/14773,86
PA/14774,75
PA/14775,79
PA/14776,75
PA/14777,85
PA/14778,87
PA/14779,75
PA/14780,67
PA/14781,83
PA/14782,71
PA/14783,86
PA/14784,67
PA/14785,73
PA/14786,73
PA/14787,84
PA/14788,84
PA/14789,75
PA/14790,79
PA/14791,85
PA/14792,73
PA/14793,86
PA/14794,75
PA/14795,86
PA/14796,83
PA/14797,72
PA/14798,67
PA/14799,87
PA/14800,70
PA/14801,73
PA/14802,73
PA/14803,73
PA/14804,75
PA/14805,85
PA/14806,84
PA/14807,83
PA/14808,83
PA/14809,85
PA/14810,76
PA/14811,81
PA/14812,87
PA/14813,83
PA/14814,70
PA/14815,70
PA/14816,82
PA/14817,70
PA/14818,87
PA/14819,79
PA/14820,68
PA/14821,68
PA/14822,78
PA/14823,84
PA/14824,75
PA/14825,69
PA/14826,84
PA/14827,79
PA/14828,77
PA/14829,83
PA/14830,69
PA/14831,76
PA/14832,85
PA/14833,76
PA/14834,74
PA/14835,68
PA/14836,74
PA/14837,80
PA/14838,79
PA/14839,85
PA/14840,80
PA/14841,75
PA/14842,67
PA/14843,76
PA/14844,74
PA/14845,79
PA/14846,69
PA/14847,73
PA/14848,76
PA/14849,73
PA/14850,79
PA/14851,76
PA/14852,74
PA/14853,68
PA/14854,83
PA/14855,77
PA/14856,77
PA/14857,77
PA/14858,82
PA/14859,75
PA/14860,72
PA/14861,73
PA/14862,69
PA/14863,84
PA/14864,67
PA/14865,75
PA/14866,67
PA/14867,83
PA/14868,81
PA/14869,87
PA/14870,86
PA/14871,70
PA/14872,80
PA/14873,67
PA/14874,80
PA/14875,79
PA/14876,76
PA/14877,80
PA/14878,80
PA/14879,68
PA/14880,74
PA/14881,81
PA/14882,79
PA/14883,71
PA/14884,69
PA/14885,81
PA/14886,87
PA/14887,86
PA/14888,79
PA/14889,73
PA/14890,75
PA/14891,77
PA/14892,80
PA/14893,70
PA/14894,79
PA/14895,72
PA/14896,75
PA/14897,81
PA/14898,87
PA/14899,76
PA/14900,86
PA/14901,78
PA/14902,77
PA/14903,72
PA/14904,77
PA/14905,71
PA/14906,70
PA/14907,76
PA/14908,70
PA/14909,68
PA/14910,70
PA/14911,86
PA/14912,67
PA/14913,82
PA/14914,87
PA/14915,83
PA/14916,68
PA/14917,79
PA/14918,87
PA/14919,69
PA/14920,83
PA/14921,87
PA/14922,86
PA/14923,83
PA/14924,74
PA/14925,76
PA/14926,77
PA/14927,84
PA/14928,72
PA/14929,70
PA/14930,86
PA/14931,79
PA/14932,78
PA/14933,71
PA/14934,78
PA/14935,84
PA/14936,85
PA/14937,83
PA/14938,69
PA/14939,69
PA/14940,71
PA/14941,80
PA/14942,68
PA/14943,68
PA/14944,68
PA/14945,74
PA/14946,68
PA/14947,87
PA/14948,72
PA/14949,68
PA/14950,73
PA/14951,87
PA/14952,72
PA/14953,75
PA/14954,80
PA/14955,77
PA/14956,82
PA/14957,79
PA/14958,74
